,kepoi_name,koi_prad,koi_insol,koi_score,size_category
3795,K04117.01,1.1,174.24,1.0,earth-like
3793,K02263.02,1.47,189.14,1.0,earth-like
523,K00137.01,4.91,154.25,1.0,neptune-like
522,K00942.01,2.9,43.96,1.0,super-earth-like
521,K00941.03,5.34,24.53,1.0,neptune-like
520,K00941.02,2.74,553.53,1.0,super-earth-like
519,K00129.01,77.76,1150.61,1.0,
518,K00941.01,4.56,142.63,1.0,neptune-like
516,K01142.01,1.58,215.46,1.0,super-earth-like
515,K01141.01,1.38,24.74,1.0,earth-like
509,K01074.01,12.05,679.75,1.0,Gas-Giant
505,K01005.01,5.17,10.19,1.0,neptune-like
499,K01205.01,5.99,958.35,1.0,neptune-like
498,K01204.01,2.0,221.66,1.0,super-earth-like
3754,K04032.01,0.83,427.07,1.0,earth-like
3693,K04087.01,1.61,0.65,1.0,super-earth-like
3657,K04072.01,2.24,24240.83,1.0,super-earth-like
3626,K00627.01,1.89,124.47,1.0,super-earth-like
3623,K00626.01,2.45,124.89,1.0,super-earth-like
3621,K00624.03,1.43,1410.6,1.0,earth-like
3618,K00723.03,4.71,68.62,1.0,neptune-like
3617,K00111.02,2.32,47.11,1.0,super-earth-like
3616,K00723.02,3.63,17.52,1.0,neptune-like
559,K01151.01,1.22,78.35,1.0,earth-like
558,K01150.01,0.9,4572.56,1.0,earth-like
555,K01148.01,2.07,221.34,1.0,super-earth-like
549,K01015.01,4.39,432.9,1.0,neptune-like
542,K00945.01,2.4,48.23,1.0,super-earth-like
540,K00943.01,2.31,232.65,1.0,super-earth-like
538,K01146.01,0.74,7.73,1.0,earth-like
531,K01078.01,1.65,33.76,1.0,super-earth-like
525,K01007.01,2.01,183.15,1.0,super-earth-like
3615,K00723.01,3.36,240.16,1.0,neptune-like
3614,K00678.02,1.3,196.51,1.0,earth-like
3613,K00678.01,1.3,118.56,1.0,earth-like
3611,K00676.02,2.26,69.36,1.0,super-earth-like
3606,K00624.01,2.7,43.5,1.0,super-earth-like
3600,K00721.01,2.13,112.82,1.0,super-earth-like
3599,K00720.04,1.66,333.31,1.0,super-earth-like
3598,K00720.03,3.58,27.14,1.0,neptune-like
3597,K00720.02,2.97,60.74,1.0,super-earth-like
588,K00952.03,2.17,2.73,1.0,super-earth-like
587,K00952.02,1.83,9.76,1.0,super-earth-like
586,K00952.01,1.94,16.54,1.0,super-earth-like
579,K00149.01,4.32,141.0,1.0,neptune-like
577,K01086.01,2.21,39.94,1.0,super-earth-like
573,K01083.01,1.52,138.46,1.0,super-earth-like
570,K01017.01,3.24,50.32,1.0,neptune-like
567,K00137.02,5.94,63.52,1.0,neptune-like
566,K00951.01,4.18,40.03,1.0,neptune-like
564,K00949.01,3.24,85.15,1.0,neptune-like
562,K00948.01,2.37,18.72,1.0,super-earth-like
561,K00947.01,1.83,1.87,1.0,super-earth-like
624,K00150.01,2.28,101.22,1.0,super-earth-like
618,K00144.01,3.07,139.48,1.0,neptune-like
612,K00954.02,3.01,18.7,1.0,neptune-like
611,K00954.01,3.1,140.92,1.0,neptune-like
610,K00131.01,10.63,692.13,1.0,Gas-Giant
608,K00953.01,4.66,386.66,1.0,neptune-like
607,K01161.01,1.94,189.98,1.0,super-earth-like
606,K01160.01,2.77,36.95,1.0,super-earth-like
596,K00137.03,2.03,435.21,1.0,super-earth-like
595,K01024.01,1.86,40.07,1.0,super-earth-like
593,K01022.01,2.7,37.82,1.0,super-earth-like
3595,K00674.01,10.47,203.31,1.0,Gas-Giant
3594,K00105.01,3.14,141.77,1.0,neptune-like
3593,K00673.01,3.95,2536.07,1.0,neptune-like
3591,K00672.02,2.94,13.22,1.0,super-earth-like
3589,K00672.01,2.56,47.17,1.0,super-earth-like
3584,K00620.02,10.44,4.31,1.0,Gas-Giant
3582,K00720.01,3.1,129.31,1.0,neptune-like
3581,K00719.04,0.86,78.4,1.0,earth-like
3576,K00671.04,1.47,235.55,1.0,earth-like
664,K01360.01,2.83,8.6,1.0,super-earth-like
655,K00961.03,0.66,10.1,1.0,earth-like
652,K00961.01,0.78,18.03,1.0,earth-like
649,K01165.02,0.68,227.69,1.0,earth-like
